Name,AC,HP,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,CR,gargantuan,huge,large,medium,or,small,tiny,Overall
Adult Blue Dracolich,19,9.985207100591715,25,10,23,16,15,19,4,2,0,1,2,5,17,0,1,0,0,0,0,0,108
Adult Blue Dragon,19,9.985207100591715,25,10,23,16,15,19,4,2,0,0,1,0,16,0,1,0,0,0,0,0,108
Adult Brass Dragon,18,7.633136094674556,23,10,21,14,13,17,4,4,0,0,1,0,13,0,1,0,0,0,0,0,98
Adult Bronze Dragon,19,9.408284023668639,25,10,23,16,15,19,4,3,0,0,1,0,15,0,1,0,0,0,0,0,108
Adult Copper Dragon,18,8.165680473372781,23,12,21,18,15,17,4,3,0,0,1,0,14,0,1,0,0,0,0,0,106
Adult Crystal Dragon,16,7.633136094674556,21,12,21,18,15,19,4,3,0,2,0,0,12,0,1,0,0,0,0,0,106
Adult Deep Dragon,17,6.523668639053254,20,14,18,16,16,18,4,3,0,2,0,3,11,0,1,0,0,0,0,0,102
Adult Emerald Dragon,18,9.186390532544378,23,12,21,18,16,18,4,4,0,2,0,0,14,0,1,0,0,0,0,0,108
Adult Gold Dragon,19,11.36094674556213,27,14,25,16,15,24,4,4,0,0,1,0,17,0,1,0,0,0,0,0,121
Adult Green Dragon,19,9.186390532544378,23,12,21,18,15,17,4,5,0,0,1,1,15,0,1,0,0,0,0,0,106
Adult Kruthik,18,1.7307692307692306,15,16,15,7,12,8,0,1,0,0,0,0,2,0,0,0,1,0,0,0,73
Adult Lunar Dragon,17,7.633136094674556,23,12,20,10,13,15,2,2,0,0,1,0,13,0,1,0,0,0,0,0,93
Adult Moonstone Dragon,19,8.653846153846153,20,18,20,22,20,23,3,3,0,0,0,1,15,0,1,0,0,0,0,0,123
Adult Oblex,14,3.328402366863905,8,19,16,19,12,15,2,6,0,0,0,5,5,0,0,0,1,0,0,0,89
Adult Red Dracolich,19,11.36094674556213,27,10,25,16,13,21,4,2,0,1,2,5,17,0,1,0,0,0,0,0,112
Adult Red Dragon,19,11.36094674556213,27,10,25,16,13,21,4,2,0,0,1,0,17,0,1,0,0,0,0,0,112
Adult Sapphire Dragon,18,9.985207100591715,23,14,22,18,17,18,4,4,0,2,0,1,15,0,1,0,0,0,0,0,112
Adult Silver Dragon,19,10.784023668639053,27,10,25,16,13,21,4,4,0,0,1,0,16,0,1,0,0,0,0,0,112
Adult Solar Dragon,17,8.875739644970414,24,15,22,15,16,14,4,2,0,0,1,1,14,0,1,0,0,0,0,0,106
Adult Topaz Dragon,18,9.319526627218934,19,12,19,18,17,18,4,3,0,2,0,0,13,0,1,0,0,0,0,0,103
Adult White Dragon,18,8.875739644970414,22,10,22,8,12,12,4,2,0,0,1,0,13,0,1,0,0,0,0,0,86
Aeorian Absorber,15,7.5887573964497035,21,18,18,6,14,8,2,3,0,0,2,0,10,0,0,1,0,0,0,0,85
Aeorian Nullifier,17,7.988165680473372,19,14,18,7,14,18,2,2,0,0,2,0,12,0,0,1,0,0,0,0,90
Aeorian Reverser,15,5.902366863905325,21,16,18,6,14,8,2,3,0,0,2,0,8,0,0,1,0,0,0,0,83
Air Elemental,15,3.994082840236686,14,20,14,6,10,6,0,0,0,4,1,8,5,0,0,1,0,0,0,0,70
Air Elemental Myrmidon,18,5.192307692307692,18,14,14,9,10,10,0,0,0,4,1,4,7,0,0,0,1,0,0,0,75
Akroan Hoplite,18,2.3076923076923075,16,16,14,11,14,13,2,0,0,0,0,0,3,0,0,0,1,0,0,0,84
Albino Dwarf Spirit Warrior,13,1.331360946745562,13,13,17,12,14,11,0,3,0,1,0,0,1,0,0,0,1,0,0,0,80
Albino Dwarf Warrior,13,1.331360946745562,13,13,17,12,14,11,0,3,0,1,0,0,0.25,0,0,0,1,0,0,0,80
Aldani (Lobsterfolk),14,2.1745562130177514,13,8,12,10,14,10,0,2,0,0,0,0,1,0,0,0,1,0,0,0,67
Alhoon,15,6.65680473372781,11,12,16,19,17,17,4,6,0,3,1,5,10,0,0,0,1,0,0,0,92
Alkilith,17,7.455621301775148,12,19,22,6,11,7,2,1,0,6,1,3,11,0,0,0,1,0,0,0,77
Allip,13,1.7751479289940828,6,17,10,17,15,16,2,2,0,6,3,9,5,0,0,0,1,0,0,0,81
Allosaurus,13,2.2633136094674553,19,13,17,2,12,5,0,1,0,0,0,0,2,0,0,1,0,0,0,0,68
Allowak Abominable Yeti,15,6.079881656804734,24,10,22,16,13,10,0,2,0,0,1,0,9,0,1,0,0,0,0,0,95
Allowak Yeti,12,2.2633136094674553,18,13,16,16,12,10,0,2,0,0,1,0,3,0,0,1,0,0,0,0,85
Almiraj,13,0.1331360946745562,2,16,10,2,14,10,0,2,0,0,0,0,0,0,0,0,0,0,1,0,54
Alseid,15,0.9763313609467456,15,10,12,13,14,18,0,1,0,1,1,3,1,0,0,0,1,0,0,0,82
Alyxian Aboleth,17,5.991124260355029,21,9,15,18,18,18,3,2,0,0,0,0,12,0,0,1,0,0,0,0,99
Alyxian the Hunter,17,7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10,0,0,0,1,0,0,0,66
Amber Golem,17,7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10,0,0,1,0,0,0,0,66
Ambush Drake,13,0.9763313609467456,13,15,14,4,11,6,0,2,0,1,0,0,0.5,0,0,0,1,0,0,0,63
Amethyst Dragon Wyrmling,17,3.328402366863905,19,10,17,16,13,17,4,4,0,2,0,2,4,0,0,0,1,0,0,0,92
Amethyst Greatwyrm,21,22.5,28,14,29,30,24,25,4,3,0,0,1,4,26,1,0,0,0,0,0,0,150
Amnizu,21,8.964497041420119,11,13,16,20,12,18,4,1,0,3,2,2,18,0,0,0,1,0,0,0,90
Amphisbaena,14,0.4881656804733728,14,18,12,3,10,3,0,1,0,0,0,0,0.5,0,0,0,1,0,0,0,60
Amphisbaena,12,2.662721893491124,19,14,12,1,10,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,59
Anarch,13,0.4881656804733728,14,13,12,9,11,10,0,2,0,0,0,0,0.25,0,0,0,1,0,0,0,69
Anchorite of Talos,13,2.57396449704142,16,13,14,9,15,12,0,3,0,0,0,0,3,0,0,0,1,0,0,0,79
Ancient Amethyst Dragon,20,19.704142011834318,26,14,27,26,19,23,4,4,0,2,0,2,23,1,0,0,0,0,0,0,135
Ancient Black Dragon,22,16.286982248520708,27,14,25,16,15,19,4,2,0,0,1,0,21,1,0,0,0,0,0,0,116
Ancient Blue Dragon,22,21.346153846153847,29,10,27,18,17,21,4,2,0,0,1,0,23,1,0,0,0,0,0,0,122
Ancient Brass Dragon,20,13.180473372781064,27,10,25,16,15,19,4,4,0,0,1,0,20,1,0,0,0,0,0,0,112
Ancient Bronze Dragon,22,19.704142011834318,29,10,27,18,17,21,4,3,0,0,1,0,22,1,0,0,0,0,0,0,122
Ancient Copper Dragon,21,15.532544378698224,27,12,25,20,17,19,4,3,0,0,1,0,21,1,0,0,0,0,0,0,120
Ancient Crystal Dragon,20,9.852071005917159,25,12,26,20,16,21,4,3,0,2,0,0,19,1,0,0,0,0,0,0,120
Ancient Deep Crow,18,8.298816568047338,23,16,23,10,15,19,2,2,0,3,0,0,15,0,1,0,0,0,0,0,106
Ancient Deep Dragon,20,8.920118343195266,23,16,20,19,18,21,4,3,0,2,0,3,18,1,0,0,0,0,0,0,117
Ancient Dragon Turtle,22,18.150887573964496,28,12,29,14,19,15,3,1,0,0,2,3,24,1,0,0,0,0,0,0,117
Ancient Emerald Dragon,20,14.733727810650887,25,12,25,20,18,20,4,4,0,2,0,0,21,1,0,0,0,0,0,0,120
Ancient Gold Dragon,22,24.23076923076923,30,14,29,18,17,28,4,4,0,0,1,0,24,1,0,0,0,0,0,0,136
Ancient Green Dragon,21,17.085798816568047,27,12,25,20,17,19,4,5,0,0,1,1,22,1,0,0,0,0,0,0,120
Ancient Lunar Dragon,18,13.180473372781064,27,12,24,12,15,17,2,2,0,0,1,0,19,1,0,0,0,0,0,0,107
Ancient Moonstone Dragon,20,14.644970414201183,22,18,23,20,22,26,3,3,0,0,0,1,21,1,0,0,0,0,0,0,131
Ancient Red Dragon,22,24.23076923076923,30,10,29,18,15,23,4,2,0,0,1,0,24,1,0,0,0,0,0,0,125
Ancient Sapphire Dragon,20,16.420118343195266,27,14,27,21,19,20,4,4,0,2,0,1,22,1,0,0,0,0,0,0,128
Ancient Sea Serpent,17,7.544378698224851,24,15,20,13,16,12,2,2,0,0,1,0,14,1,0,0,0,0,0,0,100
Ancient Silver Dragon,22,21.612426035502956,30,10,29,18,15,23,4,4,0,0,1,0,23,1,0,0,0,0,0,0,125
Ancient Solar Dragon,18,18.860946745562128,28,15,26,17,18,16,4,2,0,0,1,1,21,1,0,0,0,0,0,0,120
Ancient Topaz Dragon,20,12.426035502958579,23,12,23,20,19,20,4,3,0,2,0,0,20,1,0,0,0,0,0,0,117
Ancient White Dragon,20,14.778106508875739,26,10,26,10,13,14,4,2,0,0,1,0,20,1,0,0,0,0,0,0,99
Androsphinx,17,8.831360946745562,22,10,20,16,18,23,4,3,0,0,3,2,17,0,0,1,0,0,0,0,109
Angry Sorrowsworn,18,11.316568047337277,17,10,19,8,13,6,0,1,0,3,0,0,13,0,0,0,1,0,0,0,73
Anhkolox,15,6.967455621301775,22,11,18,4,14,2,1,1,0,0,1,4,9,0,1,0,0,0,0,0,71
Animated Armor,18,1.4644970414201182,14,11,13,1,3,1,0,0,0,0,2,8,1,0,0,0,1,0,0,0,43
Animated Ballista,15,2.2189349112426036,14,10,10,3,3,1,0,0,0,0,1,7,2,0,0,1,0,0,0,0,41
Animated Breath,15,4.215976331360946,19,11,18,6,10,5,0,0,0,5,0,6,6,0,0,1,0,0,0,0,69
Animated Broom,15,0.7544378698224852,10,17,10,1,5,1,0,0,0,0,2,9,0.25,0,0,0,0,0,1,0,44
Animated Chained Library,14,1.997041420118343,15,8,14,1,5,1,0,0,0,0,2,9,1,0,0,1,0,0,0,0,44
Animated Drow Statue,18,1.4644970414201182,14,11,13,1,3,1,0,0,0,0,2,8,1,0,0,0,1,0,0,0,43
Animated Glass Statue,10,0.9763313609467456,15,10,15,6,12,7,0,1,0,0,0,6,1,0,0,1,0,0,0,0,65
Animated Halberd,15,0.7544378698224852,12,15,11,1,5,1,1,0,0,0,2,7,0.25,0,0,0,0,0,1,0,45
Animated Jade Serpent,14,0.4881656804733728,10,18,13,2,10,3,0,1,0,0,1,1,0.25,0,0,0,1,0,0,0,56
Animated Knife,17,0.5325443786982248,12,15,11,1,5,1,1,0,0,0,2,7,0.125,0,0,0,0,0,0,1,45
Animated Object (Huge),10,3.5502958579881656,18,6,10,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41
Animated Object (Large),10,2.2189349112426036,14,10,10,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41
Animated Object (Medium),13,1.7751479289940828,10,12,10,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39
Animated Object (Small),16,1.1094674556213018,6,14,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37
Animated Object (Tiny),18,0.8875739644970414,4,18,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
Animated Staff,17,1.7751479289940828,12,12,10,18,14,10,0,0,0,1,1,0,0,0,0,0,1,0,0,0,76
Animated Statue of Lolth,17,10.207100591715976,22,9,20,3,11,1,0,0,0,0,4,6,11,0,1,0,0,0,0,0,66
Animated Stove,17,2.2189349112426036,14,10,10,3,3,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,41
Animated Table,15,1.7307692307692306,18,8,13,1,3,1,0,0,0,0,2,8,2,0,0,1,0,0,0,0,44
Animated Tile Chimera,14,5.059171597633136,19,11,19,3,14,10,0,1,0,1,2,5,6,0,0,1,0,0,0,0,76
Animated Tree,16,6.124260355029586,23,8,21,12,16,12,0,0,1,4,0,0,9,0,1,0,0,0,0,0,92
Animated Wand,18,0.8875739644970414,4,18,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
Animatronic Allosaurus,13,2.2633136094674553,19,13,17,2,12,5,0,1,0,0,2,4,2,0,0,1,0,0,0,0,68
Ankheg,14,1.7307692307692306,17,11,13,1,13,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,61
Ankylosaurus,15,3.0177514792899407,19,11,15,2,12,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,64
Ankylosaurus Zombie,14,3.0177514792899407,19,9,15,2,6,3,0,0,0,0,1,1,3,0,1,0,0,0,0,0,54
Annis Hag,17,3.994082840236686,21,12,14,13,14,15,1,2,0,1,0,0,6,0,0,1,0,0,0,0,89
Anvilwrought Raptor,14,0.7988165680473372,12,16,14,3,14,1,0,1,0,0,2,5,0.5,0,0,0,0,0,0,1,60
Ape,12,0.8431952662721893,16,14,14,6,12,7,0,2,0,0,0,0,0.5,0,0,0,1,0,0,0,69
Aphemia,15,2.3076923076923075,13,16,15,13,14,16,2,3,0,1,0,2,5,0,0,0,1,0,0,0,87
Apprentice,10,0.3106508875739645,8,10,9,13,11,12,1,2,0,0,0,0,0,0,0,0,1,0,0,0,63
Apprentice Wizard,10,0.5769230769230769,10,10,10,14,10,11,0,2,0,0,0,0,0.25,0,0,0,1,0,0,0,65
Aquatic Ghoul,12,0.9763313609467456,13,15,10,7,10,6,0,0,0,0,1,3,1,0,0,0,1,0,0,0,61
Aquatic Troll,15,3.727810650887574,18,13,20,7,9,7,0,1,0,1,0,0,5,0,0,1,0,0,0,0,74
Arasta,19,13.31360946745562,24,16,23,15,22,17,3,6,0,3,2,1,21,0,1,0,0,0,0,0,117
Arcanaloth,17,4.615384615384615,17,12,14,20,16,17,4,4,0,5,2,2,12,0,0,0,1,0,0,0,96
Archaic,20,10.872781065088757,25,10,24,27,24,20,4,4,0,1,2,7,18,1,0,0,0,0,0,0,130
Archdruid,14,6.834319526627219,14,14,12,12,20,11,2,3,0,0,0,0,12,0,0,0,1,0,0,0,83
Archer,16,3.328402366863905,11,18,16,11,13,10,0,2,0,0,0,0,3,0,0,0,1,0,0,0,79
Archmage,12,4.393491124260355,10,14,12,20,15,16,2,2,0,3,0,0,12,0,0,0,1,0,0,0,87
Archon of Falling Stars,18,6.390532544378698,20,15,19,15,21,19,4,4,0,0,1,3,12,0,0,0,1,0,0,0,109
Archon of the Triumvirate,18,6.390532544378698,20,15,19,15,21,18,3,2,0,3,0,3,14,0,0,0,1,0,0,0,108
Arclight Phoenix,16,6.301775147928994,15,22,17,5,12,7,1,0,0,3,2,7,12,0,0,0,1,0,0,0,78
Armanite,16,4.171597633136095,21,18,21,8,12,13,0,0,0,3,1,1,7,0,0,1,0,0,0,0,93
Armored Saber-Toothed Tiger,17,3.727810650887574,18,14,15,3,12,8,0,2,0,0,0,0,3,0,0,1,0,0,0,0,70
Art Elemental Mascot,11,0.7988165680473372,6,13,12,8,11,15,0,1,0,2,1,1,0.25,0,0,0,0,0,1,0,65
Ash Zombie,8,0.9763313609467456,13,6,16,3,6,5,1,0,0,0,1,1,0.25,0,0,0,1,0,0,0,49
Ashen Animated Armor,18,1.4644970414201182,14,11,13,1,3,1,0,0,0,0,3,8,1,0,0,0,1,0,0,0,43
Ashen Flying Sword,17,0.7544378698224852,12,15,11,1,5,1,1,0,0,0,3,7,0.25,0,0,0,0,0,1,0,45
Ashen Heir Anarchist,13,1.198224852071006,10,10,12,13,16,13,0,3,0,0,0,0,2,0,0,0,1,0,0,0,74
Ashen Heir Assassin,15,3.4615384615384612,11,16,14,13,11,10,2,4,0,1,0,0,8,0,0,0,1,0,0,0,75
Ashen Heir Mage,12,1.7751479289940828,9,14,11,17,12,11,2,2,0,0,0,0,6,0,0,0,1,0,0,0,74
Ashen Heir Veteran,17,2.57396449704142,16,13,14,10,11,10,0,2,0,0,0,0,3,0,0,0,1,0,0,0,74
Ashen Knight,18,2.3076923076923075,16,11,14,11,11,15,2,0,0,0,1,0,3,0,0,0,1,0,0,0,78
Ashen Rider,18,7.899408284023668,20,16,19,15,21,18,4,3,0,0,1,3,16,0,0,0,1,0,0,0,109
Ashen Shambling Mound,15,6.035502958579881,18,8,16,5,10,5,0,1,0,1,2,3,5,0,0,1,0,0,0,0,62
Ashen Veteran,17,2.57396449704142,16,13,14,10,11,10,0,2,0,0,1,0,3,0,0,0,1,0,0,0,74
Ashen Warhorse,11,0.8431952662721893,18,12,13,2,12,7,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,64
Aspect of Bahamut,23,25.96153846153846,30,18,29,25,28,30,4,3,0,0,7,5,30,1,0,0,0,0,0,0,160
Aspect of Tiamat,23,25.473372781065088,30,14,30,21,20,26,4,2,0,0,7,6,30,1,0,0,0,0,0,0,141
Assassin,15,3.4615384615384612,11,16,14,13,11,10,2,4,0,1,0,0,8,0,0,0,1,0,0,0,75
Assassin Vine,13,3.7721893491124256,18,10,16,1,10,1,0,0,0,2,0,4,3,0,0,1,0,0,0,0,56
Astral Blight,12,1.1538461538461537,16,8,14,6,10,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,57
Astral Dreadnought,20,13.180473372781064,28,7,25,5,14,18,2,1,0,3,0,8,21,1,0,0,0,0,0,0,97
Astral Elf Aristocrat,16,4.571005917159763,11,14,10,21,18,18,3,4,0,0,0,0,8,0,0,0,1,0,0,0,92
Astral Elf Commander,17,6.346153846153846,12,15,13,18,18,18,4,4,0,0,0,0,7,0,0,0,1,0,0,0,94
Astral Elf Honor Guard,17,4.127218934911243,14,15,12,17,16,16,2,3,0,0,0,0,5,0,0,0,1,0,0,0,90
Astral Elf Star Priest,13,3.994082840236686,11,11,10,16,20,17,3,2,0,0,0,0,5,0,0,0,1,0,0,0,85
Astral Elf Warrior,16,2.57396449704142,12,15,10,16,16,15,2,2,0,0,0,0,3,0,0,0,1,0,0,0,84
Atropal,7,9.985207100591715,19,5,22,25,19,24,2,0,1,0,4,4,13,0,1,0,0,0,0,0,114
Aurak Draconian,17,2.9733727810650885,13,14,16,16,11,17,3,1,0,0,0,1,6,0,0,0,1,0,0,0,87
Aurelia,22,12.736686390532544,26,24,25,17,25,30,3,2,0,4,1,5,23,0,0,0,1,0,0,0,147
Aurochs,11,1.6863905325443787,20,10,19,2,12,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,68
Aurumvorax,15,1.5976331360946745,14,13,12,3,12,6,2,2,0,0,0,1,2,0,0,0,0,0,1,0,60
Aurumvorax Den Leader,16,2.3076923076923075,18,14,14,3,13,8,2,2,0,0,0,1,4,0,0,0,1,0,0,0,70
Autognome,16,1.7307692307692306,13,6,16,4,11,6,3,0,0,0,1,3,2,0,0,0,0,0,1,0,56
Autumn Eladrin,19,7.322485207100591,12,16,16,14,17,18,0,2,0,1,0,0,10,0,0,0,1,0,0,0,93
Avatar of Death,20,0.0,16,16,16,16,16,16,0,0,0,0,2,6,0,0,0,0,1,0,0,0,96
Awakened Brown Bear,11,1.5088757396449703,19,10,16,10,13,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,75
Awakened Elk,10,0.5769230769230769,16,10,12,10,10,6,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,64
Awakened Giant Wasp,12,0.5769230769230769,10,14,10,10,10,3,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,57
Awakened Rat,10,0.04437869822485207,2,11,9,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
Awakened Shrub,9,0.4437869822485207,3,8,11,10,10,6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,48
Awakened Tree,13,2.618343195266272,19,6,15,10,10,7,0,0,1,2,0,0,2,0,1,0,0,0,0,0,67
Awakened White Moose,11,3.0177514792899407,19,11,16,10,12,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,74
Awakened Zurkhwood,13,2.618343195266272,19,6,15,10,10,7,0,0,1,2,0,0,2,0,1,0,0,0,0,0,67
Axe Beak,11,0.8431952662721893,14,12,12,2,10,5,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,55
Axe of Mirabar Soldier,18,2.9733727810650885,16,13,16,10,11,10,0,2,0,1,0,0,3,0,0,0,1,0,0,0,76
Azer,17,1.7307692307692306,17,12,15,12,13,10,1,0,0,0,2,1,2,0,0,0,1,0,0,0,79
B'rohg,14,4.0828402366863905,21,14,21,5,10,7,0,2,0,0,0,0,6,0,1,0,0,0,0,0,78
Baaz Draconian,14,0.9763313609467456,13,11,13,8,8,10,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,63
Babau,16,3.6390532544378695,19,16,16,11,12,13,0,2,0,5,1,1,4,0,0,0,1,0,0,0,87
Baboon,12,0.1331360946745562,8,14,11,4,12,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55
Badger,10,0.1331360946745562,4,11,12,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
Bael,18,8.38757396449704,24,17,20,21,24,24,4,3,0,3,2,4,19,0,0,1,0,0,0,0,130
Bakunawa,15,6.65680473372781,21,12,15,14,17,16,3,0,0,2,0,0,12,1,0,0,0,0,0,0,95
Balhannoth,17,5.059171597633136,17,8,18,6,15,8,1,1,0,0,0,1,11,0,0,1,0,0,0,0,72
Balor,19,11.627218934911243,26,15,22,20,16,22,4,0,0,4,2,1,19,0,1,0,0,0,0,0,121
Banderhobb,15,3.727810650887574,20,12,20,11,14,8,0,2,0,0,0,2,5,0,0,1,0,0,0,0,85
Bandit,12,0.4881656804733728,11,12,12,10,10,10,0,0,0,0,0,0,0.125,0,0,0,1,0,0,0,65
Bandit Captain,15,2.8846153846153846,15,16,14,14,11,14,3,2,0,0,0,0,2,0,0,0,1,0,0,0,84
Banshee,12,2.57396449704142,1,14,10,12,11,17,2,0,0,6,3,9,4,0,0,0,1,0,0,0,65
Baphomet,22,14.15680473372781,30,14,26,18,24,16,3,2,0,3,3,4,23,0,1,0,0,0,0,0,128
Barbed Devil,15,4.881656804733727,16,17,18,12,14,14,4,3,0,3,2,1,5,0,0,0,1,0,0,0,91
Bard,15,1.952662721893491,11,14,12,10,13,14,2,3,0,0,0,0,2,0,0,0,1,0,0,0,74
Barghest,17,2.662721893491124,19,15,14,13,12,14,0,4,0,4,2,1,4,0,0,1,0,0,0,0,87
Barlgura,15,3.0177514792899407,18,15,16,7,14,9,2,2,0,3,1,1,5,0,0,1,0,0,0,0,79
Barovian Commoner,10,0.17751479289940827,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60
Barovian Scout,13,0.7100591715976331,11,14,12,11,13,11,0,4,0,0,0,0,0.5,0,0,0,1,0,0,0,72
Barovian Witch,10,0.7100591715976331,7,11,13,14,11,12,0,2,0,0,0,0,0.5,0,0,0,1,0,0,0,68
Basilisk,15,2.3076923076923075,16,8,15,2,8,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,56
Bat,12,0.04437869822485207,2,15,8,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
Battleforce Angel,18,2.9289940828402363,16,12,13,11,17,18,2,2,0,2,0,3,5,0,0,0,1,0,0,0,87
Battlehammer Dwarf,13,0.7100591715976331,11,14,12,11,13,11,0,4,0,1,0,0,0.5,0,0,0,1,0,0,0,72
Bearded Devil,13,2.3076923076923075,16,15,15,9,11,11,3,0,0,3,2,1,3,0,0,0,1,0,0,0,77
Beast of the Land,13,0.22189349112426035,14,14,15,8,14,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76
Beast of the Sea,13,0.22189349112426035,14,14,15,8,14,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76
Beast of the Sky,13,0.17751479289940827,6,16,13,8,14,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68
Behir,17,7.455621301775148,23,16,18,7,14,12,0,2,0,0,1,0,11,0,1,0,0,0,0,0,90
Beholder,18,7.988165680473372,10,14,18,17,15,17,3,1,0,0,0,1,13,0,0,1,0,0,0,0,91
Beholder Zombie,15,4.127218934911243,10,8,16,3,8,5,1,0,0,0,1,2,5,0,0,1,0,0,0,0,50
Belashyrra,19,13.49112426035503,24,21,20,25,22,23,3,2,0,2,0,6,22,0,0,0,1,0,0,0,135
Beledros Witherbloom,22,19.704142011834318,28,14,27,18,28,17,4,4,0,0,2,1,24,1,0,0,0,0,0,0,132
Berbalang,14,2.1745562130177514,9,16,9,17,11,10,2,5,0,0,0,0,2,0,0,0,1,0,0,0,72
Berserker,13,2.9733727810650885,16,12,17,9,11,9,0,0,0,0,0,0,2,0,0,0,1,0,0,0,74
Bestial Spirit,11,0.8875739644970414,18,11,16,4,14,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68
Bheur Hag,17,4.038461538461538,13,16,14,12,13,16,1,4,0,0,1,0,7,0,0,0,1,0,0,0,84
Big Xorn,19,4.571005917159763,20,10,22,11,10,11,0,2,0,1,0,0,8,0,0,1,0,0,0,0,84
Biomancer,17,4.881656804733727,10,15,14,20,14,15,2,2,0,0,0,0,10,0,0,0,1,0,0,0,88
Black Abishai,15,2.57396449704142,14,17,14,13,16,11,2,2,0,3,3,1,7,0,0,0,1,0,0,0,85
Black Bear,11,0.8431952662721893,15,10,14,2,12,7,0,1,0,0,0,0,0.5,0,0,0,1,0,0,0,60
